(NHM) SOUTH KENSINGTON	(-0.17646031591042963, 51.49629871842547)	191.691817324	[(-0.1740861, 51.4971705), (-0.1762772, 51.4970117), (-0.1790978, 51.4968274), (-0.1787649, 51.4954153), (-0.1738522, 51.4957846), (-0.1738654, 51.4958626), (-0.1740247, 51.4968067), (-0.1740861, 51.4971705)]
(NHM) TRING	(-0.6610284054308259, 51.79084696523778)	38.2219292354	[(-0.6608656, 51.790928), (-0.6607564, 51.7906128), (-0.6605993, 51.7906282), (-0.660743, 51.7910619), (-0.6607985, 51.7910524), (-0.660812, 51.7910856), (-0.6609422, 51.7910667), (-0.6609269, 51.7910299), (-0.6613714, 51.7909766), (-0.6613695, 51.7909624), (-0.6614959, 51.790947), (-0.6614748, 51.7908794), (-0.6613503, 51.7908937), (-0.6613043, 51.7907384), (-0.6613675, 51.7907325), (-0.6613273, 51.7906081), (-0.6611377, 51.790633), (-0.6611415, 51.7906531), (-0.6610476, 51.7906649), (-0.6610821, 51.7907669), (-0.6610438, 51.7907728), (-0.6610821, 51.7909008), (-0.6608656, 51.790928)]
(RA) FORT NELSON	(-1.1389096281258344, 50.86100436088495)	165.192406834	[(-1.1397645, 50.860137), (-1.1400983, 50.8600334), (-1.140284, 50.8599758), (-1.140795, 50.8605083), (-1.1408656, 50.8605818), (-1.1409874, 50.8605374), (-1.1411235, 50.8605485), (-1.1407425, 50.8609215), (-1.1398367, 50.8618085), (-1.1396359, 50.8620051), (-1.1397533, 50.8620539), (-1.1395985, 50.862189), (-1.1394444, 50.8621147), (-1.1395238, 50.8620363), (-1.1392764, 50.8619928), (-1.1374601, 50.861673), (-1.1370095, 50.8615936), (-1.1370902, 50.8615299), (-1.1372289, 50.8615098), (-1.1372066, 50.8614527), (-1.136782, 50.860367), (-1.1372381, 50.8603875), (-1.1376807, 50.8604074), (-1.1378129, 50.8604132), (-1.1381606, 50.8604285), (-1.1384111, 50.8604395), (-1.1384156, 50.8603982), (-1.138627, 50.8600955), (-1.1386443, 50.8600952), (-1.1390164, 50.8603176), (-1.1390526, 50.8603595), (-1.139282, 50.8602891), (-1.139362, 50.860262), (-1.1397645, 50.860137)]
(RA) LEEDS	(-1.5324003539805424, 53.7918318445905)	56.9354052433	[(-1.5327182, 53.7920721), (-1.5330226, 53.792036), (-1.5327672, 53.7913732), (-1.5325436, 53.7914051), (-1.5325869, 53.7915279), (-1.5324618, 53.7915461), (-1.5323628, 53.7915607), (-1.5323808, 53.7916271), (-1.5315482, 53.7917364), (-1.5316235, 53.7919501), (-1.5317275, 53.7919381), (-1.5317369, 53.7919666), (-1.5319552, 53.7919403), (-1.5319933, 53.7920356), (-1.5321649, 53.7920148), (-1.5322234, 53.7921442), (-1.5326325, 53.7920831), (-1.5326484, 53.7921289), (-1.5326035, 53.7921733), (-1.532618, 53.7922226), (-1.5326974, 53.7922597), (-1.5327922, 53.7922498), (-1.5328363, 53.7921939), (-1.532816, 53.7921424), (-1.5327349, 53.7921169), (-1.5327182, 53.7920721)]
(RA) WHITE TOWER	(-0.07605759433397435, 51.50805842246245)	25.7255700666	[(-0.0760642, 51.5082254), (-0.0760632, 51.5082305), (-0.0760395, 51.5082287), (-0.0760405, 51.5082236), (-0.0759825, 51.5082193), (-0.0759813, 51.5082251), (-0.0759522, 51.5082229), (-0.0759533, 51.5082171), (-0.0758943, 51.5082126), (-0.0758933, 51.5082179), (-0.0758813, 51.5082172), (-0.0758737, 51.5082265), (-0.0758644, 51.5082316), (-0.0758556, 51.5082349), (-0.0758458, 51.5082368), (-0.0758318, 51.5082374), (-0.075822, 51.5082366), (-0.0758122, 51.5082322), (-0.0758031, 51.5082267), (-0.075797, 51.508222), (-0.0757943, 51.5082177), (-0.0757938, 51.5082123), (-0.075787, 51.5082111), (-0.0757909, 51.5081933), (-0.0757967, 51.5081934), (-0.0757992, 51.5081858), (-0.0758087, 51.5081801), (-0.0758222, 51.508176), (-0.075824, 51.5081582), (-0.075832, 51.5081587), (-0.0758401, 51.5081124), (-0.0758309, 51.5081118), (-0.0758337, 51.5080959), (-0.0758429, 51.5080966), (-0.0758494, 51.5080595), (-0.0758415, 51.5080589), (-0.0758447, 51.5080404), (-0.0758527, 51.5080409), (-0.0758571, 51.5080154), (-0.0758501, 51.5080149), (-0.0758517, 51.508006), (-0.0758317, 51.5079988), (-0.0758119, 51.5079897), (-0.0757953, 51.5079785), (-0.07578, 51.5079638), (-0.0757724, 51.507951), (-0.0757706, 51.5079381), (-0.0757734, 51.5079264), (-0.0757817, 51.5079145), (-0.0757963, 51.5079063), (-0.0758254, 51.5078891), (-0.0758442, 51.507883), (-0.0758434, 51.5078878), (-0.0759063, 51.5078916), (-0.075907, 51.5078868), (-0.075928, 51.5078881), (-0.0759273, 51.5078929), (-0.075994, 51.507897), (-0.0759948, 51.5078922), (-0.0760222, 51.5078938), (-0.0760214, 51.5078988), (-0.0760751, 51.5079021), (-0.0760762, 51.5078956), (-0.0760973, 51.5078969), (-0.0760963, 51.5079033), (-0.0761674, 51.5079077), (-0.0761682, 51.5079027), (-0.0761949, 51.5079044), (-0.0761941, 51.5079091), (-0.0762496, 51.5079125), (-0.0762503, 51.5079077), (-0.0763115, 51.5079115), (-0.0763479, 51.5079137), (-0.076333, 51.5079847), (-0.0763021, 51.5079834), (-0.0763021, 51.5079897), (-0.0763117, 51.507991), (-0.0762618, 51.5082465), (-0.076202, 51.508242), (-0.0762032, 51.5082359), (-0.0761465, 51.5082316), (-0.0761454, 51.5082373), (-0.0761212, 51.5082355), (-0.0761224, 51.5082298), (-0.0760642, 51.5082254)]
(V&A) BLYTHE HOUSE	(-0.2136983711954145, 51.49642093928443)	65.363060341	[(-0.2129384, 51.4961227), (-0.2143391, 51.4960211), (-0.2143684, 51.4961781), (-0.2140262, 51.4962029), (-0.2140947, 51.4965687), (-0.2144463, 51.4965432), (-0.2144845, 51.4967472), (-0.2142894, 51.4967614), (-0.21428, 51.4967109), (-0.2132735, 51.4967838), (-0.213284, 51.4968403), (-0.2130848, 51.4968547), (-0.2130751, 51.4968027), (-0.2130447, 51.4966447), (-0.2133325, 51.4966232), (-0.2132608, 51.4962511), (-0.2129667, 51.496273), (-0.2129598, 51.4962373), (-0.2129384, 51.4961227)]
(V&A) CHILDHOOD	(-0.05483428805082172, 51.52904691510962)	35.1756233704	[(-0.0553198, 51.5291329), (-0.0552584, 51.5289852), (-0.0551615, 51.5288163), (-0.0543474, 51.528955), (-0.0545076, 51.5292843), (-0.0549491, 51.5292006), (-0.0553198, 51.5291329)]
(V&A) SOUTH KENSINGTON	(-0.1722249349233642, 51.49686958317069)	139.369869521	[(-0.1734528, 51.4958753), (-0.1726191, 51.4959695), (-0.1726333, 51.4960098), (-0.1724915, 51.4960877), (-0.1721373, 51.4961449), (-0.1721237, 51.4961319), (-0.1717271, 51.4962054), (-0.1712268, 51.4962983), (-0.1711871, 51.4962265), (-0.1704077, 51.4964431), (-0.1704807, 51.4965427), (-0.1704414, 51.496555), (-0.1704891, 51.4966249), (-0.1704442, 51.4966388), (-0.1705087, 51.4967297), (-0.1705733, 51.496714), (-0.1713619, 51.4977868), (-0.1714181, 51.4977745), (-0.1714602, 51.4978252), (-0.1715836, 51.4977938), (-0.1715977, 51.4978147), (-0.1716847, 51.4977903), (-0.1717127, 51.49782), (-0.1721042, 51.4977784), (-0.1723357, 51.497736), (-0.1724738, 51.4977107), (-0.1732535, 51.4975679), (-0.173116, 51.4971657), (-0.1732775, 51.4971314), (-0.1733737, 51.4975251), (-0.1737279, 51.497495), (-0.1737194, 51.4974443), (-0.1737615, 51.4974408), (-0.1737447, 51.4973517), (-0.173725, 51.49735), (-0.1735859, 51.4965964), (-0.1735826, 51.4965787), (-0.1734528, 51.4958753)]
BRITISH MUSEUM	(-0.12717907510409876, 51.519393252445596)	166.006403681	[(-0.1289022, 51.5195524), (-0.1288107, 51.5195969), (-0.1288233, 51.5196071), (-0.1287857, 51.5196232), (-0.1287188, 51.5196518), (-0.1287791, 51.5197124), (-0.1287544, 51.5197216), (-0.1288843, 51.5198294), (-0.1286926, 51.5199111), (-0.128757, 51.5199542), (-0.1286702, 51.5199938), (-0.1286252, 51.5199548), (-0.1286089, 51.5199608), (-0.1285846, 51.5199407), (-0.1279039, 51.5202369), (-0.1271895, 51.5205483), (-0.1270501, 51.5204294), (-0.127027, 51.5204303), (-0.1270045, 51.5204231), (-0.1269992, 51.5204144), (-0.1270001, 51.5203994), (-0.1270381, 51.520396), (-0.1267807, 51.5201821), (-0.1258729, 51.5193754), (-0.1256775, 51.5194551), (-0.1257249, 51.5194987), (-0.1254779, 51.5196027), (-0.1254294, 51.5195568), (-0.1254155, 51.5195649), (-0.1252063, 51.5193783), (-0.1252211, 51.5193702), (-0.125164, 51.5193219), (-0.1256851, 51.5190975), (-0.1256691, 51.5190818), (-0.1256508, 51.5190884), (-0.1256162, 51.5190596), (-0.1253566, 51.5191724), (-0.1253709, 51.5191859), (-0.1253267, 51.5192045), (-0.1253257, 51.5192219), (-0.1252843, 51.5192362), (-0.1252458, 51.5192344), (-0.1252372, 51.5192416), (-0.1251997, 51.5192087), (-0.1251557, 51.5192274), (-0.1250958, 51.519174), (-0.1250814, 51.5191812), (-0.1249246, 51.5190363), (-0.1249448, 51.5190261), (-0.1248778, 51.5189677), (-0.1250486, 51.518894), (-0.1253324, 51.5191494), (-0.1255246, 51.5190643), (-0.1254543, 51.5189987), (-0.1257688, 51.5188714), (-0.1259687, 51.5190416), (-0.1261202, 51.5189682), (-0.1260816, 51.5189354), (-0.1262531, 51.5188618), (-0.12649, 51.5187619), (-0.1265367, 51.5187968), (-0.1266843, 51.5187309), (-0.1264966, 51.518556), (-0.1267957, 51.5184172), (-0.1268746, 51.5184829), (-0.1270612, 51.5183991), (-0.1267701, 51.518139), (-0.1269642, 51.518053), (-0.1272636, 51.518341), (-0.1270844, 51.5184198), (-0.1268363, 51.5185275), (-0.126878, 51.5185587), (-0.127385, 51.5183435), (-0.1275618, 51.5184967), (-0.1273968, 51.5185631), (-0.1275457, 51.5186907), (-0.1277678, 51.5185939), (-0.1278229, 51.5186397), (-0.1278996, 51.5186065), (-0.1280288, 51.5187249), (-0.1279704, 51.5187519), (-0.1283706, 51.5191073), (-0.1284237, 51.5190815), (-0.12849, 51.5191417), (-0.1285333, 51.5191813), (-0.1285455, 51.5191923), (-0.1285006, 51.5192147), (-0.1285432, 51.519255), (-0.1285536, 51.5192636), (-0.1289022, 51.5195524)]
CHURCHILL WAR ROOMS (IWM)	(-0.1279968009876912, 51.50169351698452)	116.057194219	[(-0.127738, 51.5020576), (-0.1274086, 51.5020387), (-0.1273994, 51.5020963), (-0.1272514, 51.502087), (-0.1272545, 51.5020674), (-0.1265526, 51.5020236), (-0.1265494, 51.5020433), (-0.1264111, 51.5020347), (-0.1264263, 51.5019407), (-0.1264462, 51.501942), (-0.1264806, 51.5017279), (-0.1264607, 51.5017267), (-0.1265016, 51.5014719), (-0.1265216, 51.5014732), (-0.1265557, 51.5012607), (-0.1265358, 51.5012595), (-0.12655, 51.501171), (-0.1266883, 51.5011796), (-0.1266851, 51.5011987), (-0.1273879, 51.5012407), (-0.1273908, 51.5012233), (-0.1275377, 51.5012328), (-0.1275348, 51.5012528), (-0.1275316, 51.5012744), (-0.1277073, 51.5012851), (-0.1278182, 51.5012918), (-0.1279795, 51.5013016), (-0.1281582, 51.5013125), (-0.1281607, 51.5012932), (-0.1281627, 51.5012782), (-0.1294716, 51.5013659), (-0.1295299, 51.5013926), (-0.1295492, 51.5014376), (-0.1295181, 51.5016551), (-0.1295424, 51.5016566), (-0.1295376, 51.5016883), (-0.1295226, 51.5017871), (-0.1295111, 51.5018628), (-0.1295049, 51.5019036), (-0.1294775, 51.5019012), (-0.129447, 51.5021052), (-0.1294302, 51.5021041), (-0.1294222, 51.5021252), (-0.1294029, 51.5021499), (-0.1293683, 51.5021689), (-0.1293282, 51.5021755), (-0.129291, 51.5021777), (-0.1292908, 51.5021923), (-0.1290423, 51.5021798), (-0.1290401, 51.5021993), (-0.1288816, 51.5021877), (-0.1288827, 51.5021685), (-0.1281972, 51.5021258), (-0.1281915, 51.5021463), (-0.1280429, 51.5021366), (-0.1280515, 51.5020787), (-0.127738, 51.5020576)]
GEFFRYE MUSEUM	(-0.07620919228878127, 51.53173329389861)	48.4198995313	[(-0.0761629, 51.531669), (-0.0761336, 51.531669), (-0.0761347, 51.5317072), (-0.0761191, 51.5317169), (-0.0761124, 51.531728), (-0.0761113, 51.5317426), (-0.0761135, 51.5317523), (-0.0761247, 51.5317593), (-0.0761325, 51.5317635), (-0.0761336, 51.5318135), (-0.0761657, 51.5318135), (-0.0761725, 51.5321674), (-0.0762443, 51.5321682), (-0.0762695, 51.5321674), (-0.0762552, 51.5313008), (-0.0762305, 51.531301), (-0.0762195, 51.5313011), (-0.0761559, 51.5313015), (-0.0761562, 51.5313177), (-0.0761575, 51.531385), (-0.0761579, 51.5314079), (-0.0761629, 51.531669)]
HMS BELFAST (IWM)	(-0.08124480470787274, 51.50654449697802)	94.9069282075	[(-0.0801472, 51.5063944), (-0.0803229, 51.5064414), (-0.0805033, 51.5064901), (-0.0807496, 51.5065498), (-0.0810462, 51.5066087), (-0.0813478, 51.5066588), (-0.0815944, 51.5067034), (-0.081795, 51.5067332), (-0.0820145, 51.5067653), (-0.0821708, 51.5067834), (-0.0823263, 51.5067979), (-0.0825609, 51.5067861), (-0.0825305, 51.5067708), (-0.0824579, 51.5067362), (-0.0823866, 51.5067059), (-0.0821387, 51.506639), (-0.0818574, 51.5065721), (-0.0814055, 51.5064757), (-0.0810926, 51.5064128), (-0.0807892, 51.5063636), (-0.0802993, 51.5063065), (-0.0802614, 51.5063039), (-0.0802144, 51.5063008), (-0.0801968, 51.5062996), (-0.0800971, 51.5062928), (-0.0800262, 51.5062915), (-0.0799707, 51.5063085), (-0.079996, 51.506338), (-0.0801472, 51.5063944)]
HORNIMAN MUSEUM	(-0.060973597583392984, 51.44099699201342)	46.6358430775	[(-0.0614117, 51.4407754), (-0.0614144, 51.4407602), (-0.0612474, 51.4407488), (-0.0612446, 51.4407646), (-0.0612236, 51.4407632), (-0.0612258, 51.4407506), (-0.060977, 51.4407335), (-0.0609784, 51.4407258), (-0.0606822, 51.4407056), (-0.0605715, 51.4413336), (-0.060851, 51.4413527), (-0.0608794, 51.4411916), (-0.0609523, 51.4411966), (-0.0609757, 51.4410642), (-0.0610918, 51.4410722), (-0.0610878, 51.4410949), (-0.0610686, 51.4412038), (-0.061138, 51.4412085), (-0.0611355, 51.441223), (-0.0613321, 51.4412365), (-0.0613611, 51.4410721), (-0.061379, 51.4409708), (-0.0614117, 51.4407754)]
IWM DUXFORD1	(0.13002806213137838, 52.09203218248474)	930.974152771	[(0.1374501, 52.0976407), (0.1378538, 52.0975184), (0.1382512, 52.0972507), (0.1390451, 52.0966683), (0.1418995, 52.093514), (0.1213538, 52.0855685), (0.119207, 52.0877345), (0.1213109, 52.0885915), (0.1192912, 52.0903502), (0.1259059, 52.0940815), (0.1268406, 52.0944885), (0.1288783, 52.0951659), (0.1311117, 52.0959219), (0.1326199, 52.0964255), (0.1331524, 52.0965957), (0.1333361, 52.0966122), (0.1344023, 52.096917), (0.136463, 52.0976144), (0.1366125, 52.0976742), (0.1367976, 52.0977043), (0.1374501, 52.0976407)]
